Model_Index,Bird_Species,Wiki_Summary
211,Aeronautes Saxatalis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
212,Apus Apus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
213,Chaetura Pelagica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
214,Chaetura Vauxi,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
215,Caprimulgus Europaeus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
216,Chordeiles Acutipennis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
217,Chordeiles Minor,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
218,Nyctidromus Albicollis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
219,Phalaenoptilus Nuttallii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
220,Nyctibius Griseus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
221,Nyctibius Jamaicensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
222,Podargus Strigoides,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
223,Amazilia Beryllina,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
224,Amazilia Cyanocephala,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
225,Amazilia Rutila,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
226,Amazilia Tzacatl,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
227,Amazilia Violiceps,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
228,Amazilia Yucatanensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
229,Anthracothorax Nigricollis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
230,Anthracothorax Prevostii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
231,Archilochus Alexandri,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
232,Archilochus Colubris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
233,Boissonneaua Flavescens,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
234,Calothorax Lucifer,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
235,Calypte Anna,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
236,Calypte Costae,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
237,Campylopterus Hemileucurus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
238,Chlorostilbon Canivetii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
239,Chlorostilbon Lucidus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
240,Colibri Coruscans,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
241,Colibri Cyanotus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
242,Cynanthus Latirostris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
243,Eugenes Fulgens,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
244,Eupetomena Macroura,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
245,Florisuga Mellivora,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
246,Heliodoxa Jacula,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
247,Hylocharis Leucotis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
248,Lampornis Clemenciae,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
249,Ocreatus Underwoodii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
250,Selasphorus Calliope,Summary currently unavailable.
251,Selasphorus Platycercus,Summary currently unavailable.
252,Selasphorus Rufus,Summary currently unavailable.
253,Selasphorus Sasin,Summary currently unavailable.
254,Thalurania Colombica,Summary currently unavailable.
255,Dromaius Novaehollandiae,Summary currently unavailable.
256,Cathartes Aura,Summary currently unavailable.
257,Cathartes Burrovianus,Summary currently unavailable.
258,Coragyps Atratus,Summary currently unavailable.
259,Gymnogyps Californianus,Summary currently unavailable.
260,Sarcoramphus Papa,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
261,Vultur Gryphus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
262,Alca Torda,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
263,Brachyramphus Marmoratus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
264,Cepphus Columba,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
265,Cepphus Grylle,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
266,Cerorhinca Monocerata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
267,Fratercula Arctica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
268,Uria Aalge,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
269,Burhinus Bistriatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
270,Burhinus Capensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
271,Burhinus Grallarius,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
272,Burhinus Vermiculatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
273,Charadrius Alexandrinus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
274,Charadrius Bicinctus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
275,Charadrius Collaris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
276,Charadrius Dubius,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
277,Charadrius Hiaticula,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
278,Charadrius Leschenaultii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
279,Charadrius Marginatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
280,Charadrius Melodus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
281,Charadrius Mongolus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
282,Charadrius Nivosus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
283,Charadrius Obscurus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
284,Charadrius Pecuarius,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
285,Charadrius Ruficapillus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
286,Charadrius Semipalmatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
287,Charadrius Tricollaris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
288,Charadrius Vociferus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
289,Charadrius Wilsonia,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
290,Elseyornis Melanops,Summary currently unavailable.
291,Pluvialis Apricaria,Summary currently unavailable.
292,Pluvialis Dominica,Summary currently unavailable.
293,Pluvialis Fulva,Summary currently unavailable.
294,Pluvialis Squatarola,Summary currently unavailable.
295,Vanellus Armatus,Summary currently unavailable.
296,Vanellus Chilensis,Summary currently unavailable.
297,Vanellus Coronatus,Summary currently unavailable.
298,Vanellus Indicus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
299,Vanellus Miles,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
300,Vanellus Senegallus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
301,Vanellus Spinosus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
302,Vanellus Vanellus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
303,Glareola Pratincola,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
304,Haematopus Bachmani,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
305,Haematopus Finschi,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
306,Haematopus Fuliginosus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
307,Haematopus Longirostris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
308,Haematopus Moquini,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
309,Haematopus Ostralegus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
310,Haematopus Palliatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
311,Haematopus Unicolor,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
312,Actophilornis Africanus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
313,Hydrophasianus Chirurgus,Summary currently unavailable.
314,Irediparra Gallinacea,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
315,Jacana Jacana,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
316,Jacana Spinosa,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
317,Chlidonias Hybrida,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
318,Chlidonias Leucopterus,Summary currently unavailable.
319,Chlidonias Niger,Summary currently unavailable.
320,Chroicocephalus Bulleri,Summary currently unavailable.
321,Chroicocephalus Cirrocephalus,Summary currently unavailable.
322,Chroicocephalus Genei,Summary currently unavailable.
323,Chroicocephalus Hartlaubii,Summary currently unavailable.
324,Chroicocephalus Maculipennis,Summary currently unavailable.
325,Chroicocephalus Novaehollandiae,Summary currently unavailable.
326,Chroicocephalus Philadelphia,Summary currently unavailable.
327,Chroicocephalus Ridibundus,Summary currently unavailable.
328,Chroicocephalus Serranus,Summary currently unavailable.
329,Gelochelidon Nilotica,Summary currently unavailable.
330,Hydrocoloeus Minutus,Summary currently unavailable.
331,Hydroprogne Caspia,Summary currently unavailable.
332,Ichthyaetus Ichthyaetus,Summary currently unavailable.
333,Ichthyaetus Melanocephalus,Summary currently unavailable.
334,Larus Argentatus,Summary currently unavailable.
335,Larus Cachinnans,Summary currently unavailable.
336,Larus Californicus,Summary currently unavailable.
337,Larus Canus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
338,Larus Crassirostris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
339,Larus Delawarensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
340,Larus Dominicanus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
341,Larus Fuscus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
342,Larus Glaucescens,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
343,Larus Glaucoides,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
344,Larus Heermanni,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
