species_query,wikipedia_title,text,source_url
Andean Siskin,Andean siskin,"--- Summary ---
The Andean siskin (Spinus spinescens) is a species of finch in the family Fringillidae. It is found in Colombia, Ecuador, and Venezuela. Its natural habitats are subtropical or tropical moist montane forests, subtropical or tropical high-altitude shrubland, subtropical or tropical high-altitude grassland, and heavily degraded former forest.

--- Description ---
This is a small green-and-yellow finch. According to some sources, it is the smallest species of finch on average, although others give this title to the lesser goldfinch. The total length can range from 9.5 to 11 cm (3.7 to 4.3 in). A weight of 11.5 g (0.41 oz) may be at the high end. Few standard measurements are known, although the bill has been recorded at 1.1 cm (0.43 in) and the wing chord length is reportedly around 6.4 cm (2.5 in). The Andean siskin has deep green upperparts with black and yellow coloration on the wings and tail. The adult male has a distinctive black cap. The female lacks this cap and is generally a duller olive color, with white from the belly to the undertail-coverts. The female differs from female yellow-bellied siskins in being paler and brighter, and by lacking the olive throat and yellow undertail-coverts of that species. Female hooded siskins are also similar, but the Andean has distinctive white undertail-coverts and more olive-green rather than gray overall coloration. The subspecies S. s. nigricauda is generally duller or darker green on upperparts than the nominate, and its underparts are dull green without any trace of yellow. The tail is all black, and the wings lack greenish-yellow tips to the coverts but retain bright yellow bases to the inner primaries and secondaries. The proposed subspecies S. s. capitaneus from the Sierra Nevada de Santa Marta is typically included in the nominate.
The Andean siskin's call is a typical goldfinch-like tswee or similar variation, frequently given in flight. The song, also goldfinch-like, is a lively rambling series of notes, high pitched and interspersed with rolling trills.",https://en.wikipedia.org/wiki/Andean_siskin
Anhinga,Anhinga,"--- Summary ---
The anhinga (; Anhinga anhinga), sometimes called darter, American darter, snakebird, or water turkey, is a water bird of the warmer parts of the Americas. The word anhinga comes from a'ñinga in the Brazilian Tupi language and means ""devil bird"" or ""snake bird"". The origin of the name is apparent when swimming: only the neck appears above water, so the bird looks like a snake ready to strike. They do not have external nares (nostrils) and breathe solely through their epiglottis.
The anhinga is placed in the darter family, Anhingidae, and is closely related to the Oriental (Anhinga melanogaster), African (Anhinga rufa), and Australasian (Anhinga novaehollandiae) darters. Like other darters, the anhinga hunts by spearing fish and other small prey using its sharp, slender beak.

--- Description ---
The anhinga is a large bird, measuring approximately 89 cm (35 in) in length (with a range of 75–95 cm (30–37 in)), with a 1.14 m (3.7 ft) wingspan. The A. a. anhinga subspecies is larger than A. a. leucogaster and has broader buffy tail tips. They weigh on average around 1.22 kg (2.7 lb), with a range of 1.04–1.35 kg (2.3–3.0 lb). The bill is relatively long (about twice the length of the head), sharply pointed, and yellow, and the webbed feet are yellow as well.
The male is glossy black-green, including its wings and the base of its wings, while its tail is glossy black-blue. The tip of the tail is white. The back of the head and the neck have elongated feathers that have been described as gray or light purple-white. The upper back of the body and wings are spotted or streaked with white.
The female anhinga is similar to the male except for its pale gray-buff or light brown head, neck, and upper chest. The lower chest or breast is a chestnut color, and the back is browner than the male's.

The hatchling starts bald but gains tan down within a few days of hatching. Within two weeks, the tan down is replaced by white down. Three weeks after hatching, the first juvenile feathers appear. Juveniles are mostly brown until they first breed, usually after the second or third winter.
Anhinga are similar in size, shape, and behavior to the double-crested cormorant. The two species can be differentiated by their tails, bills, and flight. The tail of the anhinga is wider and longer, only the cormorant's bill has a hook-tip, only the anhinga can glide in flight.
Typical of the genus, anhingas have a ""kinked"" neck due to the unique ""hinge"" morphology of the joint between the eighth and ninth cervical vertebrae.

--- Behavior ---
Anhingas swim underwater by kicking their webbed feet to pursue their prey, fish or amphibians, which they spear by rapidly outstretching their bent neck. They come up to the surface to consume and swallow prey. Unlike ducks, ospreys and pelicans, which coat their feathers with oils from the uropygial gland, the anhinga does not have this ability; anhingas lack waterproof feathers on their bodies, causing them to be saturated upon immersion into water, while the flight feathers are slightly less wettable. Thus, their habit of basking in the sun with outstretched wings is crucial. Their dense bones, wetted plumage, and neutral buoyancy in water allow them to fully submerge and hunt for underwater prey.
Anhingas cannot fly for any extended distance with soaked feathers; if they attempt to fly while wet, notable difficulty is experienced, the birds flapping vigorously while ""running"" on the water's surface for a short distance (often escaping a perceived threat).  Like cormorants, anhingas perch and rest on fallen trees, logs or rocks near the water's edge with wings spread and feathers fanned-open in a semicircular shape, facing away from the sun, in order to dry themselves and absorb the sun's heat.  Anhingas also lose body heat relatively fast, and their posture helps them absorb solar radiation from the sun to counteract this. Because an anhinga in the drying position resembles a male turkey, it has been colloquially referred to as the 'water turkey' or 'swamp turkey'.",https://en.wikipedia.org/wiki/Anhinga
Anianiau,ʻAnianiau,"--- Summary ---
The ʻanianiau (pronounced ) (Magumma parva) is a species of Hawaiian honeycreeper that is endemic to upper elevation forests on the island of Kauai.
This species seems to be rather distantly related to the typical Hemignathini (such as the ʻamakihis and nukupuʻus). It is placed in the monotypic genus Magumma.

--- Description ---
The 'anianiau is a brightly plumaged yellow bird and at 10 centimetres (3.9 in) in length, the smallest Hawaiian honeycreeper. The ʻanianiau has a slightly curved bill and a mass of about 10 g. The plumage of the female is more uniform and has a duller yellow-green color than the male's bright yellow. Its call is a pair of notes, tew-weet, while its song is a trill of wee-see, wee-see, wee-see.

--- Habitat ---
ʻAnianiau are found in mesic and wet forests at elevations above 600 m (2,000 ft).  The highest densities occur above 1,100 m (3,600 ft). Dominant tree species in its habitat include koa (Acacia koa), ʻōhiʻa lehua (Metrosideros polymorpha), ʻōlapa (Cheirodendron trigynum), and lapalapa (C. platyphyllum).",https://en.wikipedia.org/wiki/%CA%BBAnianiau
Buteo Buteo,Common buzzard,"--- Summary ---
The common buzzard (Buteo buteo) is a medium-to-large bird of prey which has a large range. It is a member of the genus Buteo in the family Accipitridae. The species lives in most of Europe and extends its breeding range across much of the Palearctic as far as northwestern China (Tian Shan), far western Siberia and northwestern Mongolia. Over much of its range, it is a year-round resident. However, buzzards from the colder parts of the Northern Hemisphere as well as those that breed in the eastern part of their range typically migrate south for the northern winter, many journeying as far as South Africa.
The common buzzard is an opportunistic predator that can take a wide variety of prey, but it feeds mostly on small mammals, especially rodents such as voles. It typically hunts from a perch. Like most accipitrid birds of prey, it builds a nest, typically in trees in this species, and is a devoted parent to a relatively small brood of young. The common buzzard appears to be the most common diurnal raptor in Europe, as estimates of its total global population run well into the millions.

--- Description ---
The common buzzard is a medium to large sized raptor that is highly variable in plumage. Most buzzards are distinctly round headed with a somewhat slender bill, relatively long wings that either reach or fall slightly short of the tail tip when perched, a fairly short tail, and somewhat short and mainly bare tarsi. They can appear fairly compact in overall appearance but may also appear large relative to other more common raptorial birds such as kestrels and sparrowhawks. The common buzzard measures between 40 and 58 cm (1 ft 4 in and 1 ft 11 in) in length with a 109–140 cm (3 ft 7 in – 4 ft 7 in) wingspan. Females average about 2–7% larger than males linearly and weigh about 15% more. Body mass can show considerable variation. Buzzards from Great Britain alone can vary from 427 to 1,183 g (15 oz to 2 lb 10 oz) in males, while females there can range from 486 to 1,370 g (1 lb 1 oz to 3 lb 0 oz).

In Europe, most typical buzzards are dark brown above and on the upperside of the head and mantle, but can become paler and warmer brown with worn plumage. The flight feathers on perched European buzzards are always brown in the nominate subspecies (B. b. buteo). Usually the tail will usually be narrowly barred grey-brown and dark brown with a pale tip and a broad dark subterminal band but the tail in palest birds can show a varying amount a white and reduced subterminal band or even appear almost all white. In European buzzards, the underside coloring can be variable but most typically show a brown-streaked white throat with a somewhat darker chest. A pale U across breast is often present; followed by a pale line running down the belly which separates the dark areas on breast-side and flanks. These pale areas tend to have highly variable markings that tend to form irregular bars. Juvenile buzzards are quite similar to adult in the nominate race, being best told apart by having a paler eye, a narrower subterminal band on the tail and underside markings that appear as streaks rather than bars. Furthermore, juveniles may show variable creamy to rufous fringes to upperwing coverts but these also may not be present. Seen from below in flight, buzzards in Europe typically have a dark trailing edge to the wings. If seen from above, one of the best marks is their broad dark subterminal tail band. Flight feathers of typical European buzzards are largely greyish, the aforementioned dark wing linings at front with contrasting paler band along the median coverts. In flight, paler individuals tend to show dark carpal patches that can appears as blackish arches or commas but these may be indistinct in darker individuals or can appear light brownish or faded in paler individuals. Juvenile nominate buzzards are best told apart from adults in flight by the lack of a distinct subterminal band (instead showing fairly even barring throughout) and below by having less sharp and brownish rather than blackish trailing wing edge. Juvenile buzzards show streaking paler parts of under wing and body showing rather than barring as do adults. Beyond the typical mid-range brownish buzzard, birds in Europe can range from almost uniform black-brown above to mainly white. Extreme dark individuals may range from chocolate brown to blackish with almost no pale showing but a variable, faded U on the breast and with or without faint lighter brown throat streaks. Extreme pale birds are largely whitish with variable widely spaced streaks or arrowheads of light brown about the mid-chest and flanks and may or may not show dark feather-centres on the head, wing-coverts and sometimes all but part of mantle. Individuals can show nearly endless variation of colours and hues in between these extremes and the common buzzard is counted among the most variably plumage diurnal raptors for this reason. One study showed that this variation may actually be the result of diminished single-locus genetic diversity.

Beyond the nominate form (B. b. buteo) that occupies most of the common buzzard's European range, a second main, widely distributed subspecies is known as the steppe buzzard (B. b. vulpinus). The steppe buzzard race shows three main colour morphs, each of which can be predominant in a region of breeding range. It is more distinctly polymorphic rather than just individually very variable like the nominate race. This may be because, unlike the nominate buzzard, the steppe buzzard is highly migratory. Polymorphism has been linked with migratory behaviour. The most common type of steppe buzzard is the rufous morph which gives this subspecies its scientific name (vulpes is Latin for ""fox""). This morph comprises a majority of birds seen in passage east of the Mediterranean. Rufous morph buzzards are a paler grey-brown above than most nominate B. b. buteo. Compared to the nominate race, rufous vulpinus show a patterning not dissimilar but generally far more rufous-toned on head, the fringes to mantle wing coverts and, especially, on the tail and the underside. The head is grey-brown with rufous tinges usually while the tail is rufous and can vary from almost unmarked to thinly dark-barred with a subterminal band. The underside can be uniformly pale to dark rufous, barred heavily or lightly with rufous or with dusky barring, usually with darker individuals showing the U as in nominate but with a rufous hue. The pale morph of the steppe buzzard is commonest in the west of its subspecies range, predominantly seen in winter and migration at the various land bridge of the Mediterranean. As in the rufous morph, the pale morph vulpinus is grey-brown above but the tail is generally marked with thin dark bars and a subterminal band, only showing rufous near the tip. The underside in the pale morph is greyish-white with dark grey-brown or somewhat streaked head to chest and barred belly and chest, occasionally showing darker flanks that can be somewhat rufous. Dark morph vulpinus tend to be found in the east and southeast of the subspecies range and are easily outnumbered by rufous morph while largely using similar migration points. Dark morph individuals vary from grey-brown to much darker blackish-brown, and have a tail that is dark grey or somewhat mixed grey and rufous, is distinctly marked with dark barring and has a broad, black subterminal band. Dark morph vulpinus have a head and underside that is mostly uniform dark, from dark brown to blackish-brown to almost pure black. Rufous morph juveniles are often distinctly paler in ground colour (ranging even to creamy-grey) than adults with distinct barring below actually increased in pale morph type juvenile. Pale and rufous morph juveniles can only be distinguished from each other in extreme cases. Dark morph juveniles are more similar to adult dark morph vulpinus but often show a little whitish streaking below, and like all other races have lighter coloured eyes and more evenly barred tails than adults. Steppe buzzards tend to appear smaller and more agile in flight than nominate whose wing beats can look slower and clumsier. In flight, rufous morph vulpinus have their whole body and underwing varying from uniform to patterned rufous (if patterning present, it is variable, but can be on chest and often thighs, sometimes flanks, pale band across median coverts), while the under-tail usually paler rufous than above. Whitish flight feathers are more prominent than in nominate and more marked contrast with the bold dark brown band along the trailing edges. Markings of pale vulpinus as seen in flight are similar to rufous morph (such as paler wing markings) but more greyish both on wings and body. In dark morph vulpinus the broad black trailing edges and colour of body make whitish areas of inner wing stand out further with an often bolder and blacker carpal patch than in other morphs. As in nominate, juvenile vulpinus (rufous/pale) tend to have much less distinct trailing edges, general streaking on body and along median underwing coverts. Dark morph vulpinus resemble adult in flight more so than other morphs.

--- Taxonomy ---
The first formal description of the common buzzard was by the Swedish naturalist Carl Linnaeus in 1758 in the tenth edition of his Systema Naturae under the binomial name Falco buteo. The genus Buteo was introduced by the French naturalist Bernard Germain de Lacépède in 1799 by tautonymy with the specific name of this species. The word buteo is Latin for a buzzard. It should not be confused with the Turkey vulture, which is sometimes called a buzzard in American English.
The Buteoninae subfamily originated from and is most diversified in the Americas, with occasional broader radiations that led to common buzzards and other Eurasian and African buzzards. The common buzzard is a member of the genus Buteo, a group of medium-sized raptors with robust bodies and broad wings. The Buteo species of Eurasia and Africa are usually commonly referred to as ""buzzards"" while those in the Americas are called hawks. Under current classification, the genus includes approximately 28 species, the second most diverse of all extant accipitrid genera behind only Accipiter. DNA testing shows that the common buzzard is fairly closely related to the red-tailed hawk (Buteo jamaicensis) of North America, which occupies a similar ecological niche to the buzzard in that continent. The two species may belong to the same species complex. Three buzzards in Africa are likely closely related to the common buzzard based on genetic materials, the Mountain buzzard (Buteo oreophilus), Forest buzzards (Buteo trizonatus) and the Madagascar buzzard (Buteo brachypterus), to the point where it has been questioned whether they are sufficiently distinct to qualify as full species. However, the distinctiveness of these African buzzards has generally been supported. Genetic studies have further indicated that the modern buzzards of Eurasia and Africa are a relatively young group, showing that they diverged at about 300,000 years ago. Nonetheless, fossils dating earlier than 5 million year old (the late Miocene period) showed Buteo species were present in Europe much earlier than that would imply, although it cannot be stated to a certainty that these would have been related to the extant buzzards.",https://en.wikipedia.org/wiki/Common_buzzard
Pluvialis Squatarola,Grey plover,"--- Summary ---
The grey plover or black-bellied plover (Pluvialis squatarola) is a large plover breeding in Arctic regions. It is a long-distance migrant, with a nearly worldwide coastal distribution when not breeding.

--- Description ---
The grey plover is 27–30 cm (11–12 in) long with a wingspan of 71–83 cm (28–33 in) and a weight of 190–280 g (6.7–9.9 oz) (up to 345 g (12.2 oz) in preparation for migration). In spring and summer (late April or May to August), adults are spotted black and white on the back and wings. The face and neck are black with a white border; they have a black breast and belly and a white rump. The tail is white with black barring. The bill and legs are black. They moult to winter plumage in mid August to early September and retain this until April; this being a fairly plain grey above, with a grey-speckled breast and white belly. The juvenile and first-winter plumages, held by young birds from fledging until about one year old, are similar to the adult winter plumage but with the back feathers blacker with creamy white edging. In all plumages, the inner flanks and axillary feathers at the base of the underwing are black, a feature which readily distinguishes it from the other three Pluvialis species in flight. On the ground, it can also be told from the other Pluvialis species by its larger (24–34 mm, 0.94–1.34 in), heavier bill.

--- Taxonomy ---
The grey plover was formally described by the Swedish naturalist Carl Linnaeus in 1758 in the tenth edition of his Systema Naturae under the binomial name Tringa squatarola. It is now placed with three other plovers in the genus Pluvialis that was introduced by the French ornithologist Mathurin Jacques Brisson in 1760. The genus name is Latin and means relating to rain, from pluvia, ""rain"".  It was believed that they flocked when rain was imminent. The species name squatarola is a Latinised version of Sgatarola, a Venetian name for some kind of plover.
The English common name used for this species differs in different parts of the world. It is generally known as ""grey plover"" in the Old World and ""black-bellied plover"" in the New World.
Three subspecies are recognised:

P. s. squatarola (Linnaeus, 1758) – breeds in north Eurasia and Alaska; non-breeding in west, south Europe, Africa, south, east Asia and Australasia and west Americas
P. s. tomkovichi Engelmoer & Roselaar, 1998 – breeds on Wrangel Island (northeast Siberia)
P. s. cynosurae (Thayer & Bangs, 1914) – breeds north Canada; non-breeding along coastal North and South America",https://en.wikipedia.org/wiki/Grey_plover
Pelargopsis Capensis,Stork-billed kingfisher,"--- Summary ---
The stork-billed kingfisher (Pelargopsis capensis), is a tree kingfisher which is widely but sparsely distributed in the tropical Indian subcontinent and Southeast Asia, from India to Indonesia. These kingfishers are large and have a heavy bill. The head is brown and the chin is paler coloured. The sexes are similar in coloration. This is found mostly in streams and ponds in lowland areas with tree cover. This kingfisher is sendentary throughout its range.

--- Description ---
It is a very large kingfisher, measuring 35 cm (14 in) in length. The adult has a green back, blue wings and tail, and olive-brown head. Its underparts and neck are buff. The very large bill and legs are bright red. The flight of the stork-billed kingfisher is laboured and flapping, but direct. Sexes are similar. There are 13 races or subspecies, differing mostly in plumage detail, but P. c. gigantea of the Sulu Archipelago in the Philippines has a white head, neck and underparts.

--- Taxonomy ---
The first formal description of the stork-billed kingfisher was by the Swedish naturalist Carl Linnaeus in 1766 in the 12th edition of his Systema Naturae. He coined the binomial name Alcedo capensis. Linnaeus based his description on Mathurin Jacques Brisson's ""Le martin-pescheur du Cap de Bonne Espérance"". Brisson believed his specimen had come from the Cape of Good Hope region of South Africa. The species does not occur in Africa and it was suggested that the specimen had been obtained on the Indonesian island of Java. The specimen is now known to have come from near Chandannagar in West Bengal, India. Linnaeus's specific epithet capensis denotes the Cape of Good Hope. The current genus Pelargopsis was introduced by the German zoologist Constantin Gloger in 1841.
Thirteen subspecies are recognised:

P. c. capensis (Linnaeus, 1766) – Nepal through India to Sri Lanka
P. c. osmastoni (Baker, ECS, 1934) – Andaman Islands
P. c. intermedia Hume, 1874 – Nicobar Islands
P. c. burmanica Sharpe, 1870 – Myanmar to Indochina and south to north Malay Peninsula
P. c. malaccensis Sharpe, 1870 – central and south Malay Peninsula, Riau Archipelago and Lingga Islands
P. c. cyanopteryx (Oberholser, 1909) – Sumatra, Bangka Island and Belitung Island
P. c. simalurensis Richmond, 1903 – Simeulue Island  (off the west coast of the island of Sumatra in Indonesia)
P. c. sodalis Richmond, 1903 – Banyak, Nias, Batu and Mentawai Islands (off the west coast of Sumatra)
P. c. innominata (van Oort, 1910) – Borneo
P. c. javana (Boddaert, 1783) – Java
P. c. floresiana Sharpe, 1870 – Bali to Flores  (Lesser Sunda Islands)
P. c. gouldi Sharpe, 1870 – north Philippines
P. c. gigantea Walden, 1874 – central and south Philippines
The insular forms nesoeca on the Nias and Batu Islands as well as isoptera on Mentawai Island are here subsumed within sodalis. Prior to the change of type locality to Chandannagar, the birds in India were placed in the subspecies gurial but this race is now synonymized with the nominate race capensis.",https://en.wikipedia.org/wiki/Stork-billed_kingfisher
Todiramphus Chloris,Collared kingfisher,"--- Summary ---
The collared kingfisher (Todiramphus chloris) is a medium-sized kingfisher belonging to the subfamily Halcyoninae, the tree kingfishers. It is also known as the white-collared kingfisher, black-masked kingfisher or mangrove kingfisher. It has a wide range extending from the Red Sea across southern Asia to Melanesia.  A number of subspecies and subspecies groups have been split from this species including the Pacific kingfisher, the Islet kingfisher, the Torresian kingfisher, the Mariana kingfisher, and the Melanesian kingfisher.

--- Description ---
The collared kingfisher is 23 to 25 cm (9.1 to 9.8 in) long and the male weighs 51 to 90 g (1.8 to 3.2 oz), while the female weighs 54–100 g (1.9–3.5 oz). It varies from blue to green above while the underparts can be white or buff. There is a white collar around the neck, giving the bird its name. Some races have a white or buff stripe over the eye while others have a white spot between the eye and bill. There may be a black stripe through the eye. The large bill is black with a pale yellow base to the lower mandible. Females tend to be greener than the males. Immature birds are duller than the adults with dark scaly markings on the neck and breast.
It has a variety of calls which vary geographically. The most typical call is a loud, harsh and metallic ""kee-kee-kee"" repeated several times.

--- Taxonomy ---
The collared kingfisher was described by the French polymath Georges-Louis Leclerc, Comte de Buffon in his Histoire Naturelle des Oiseaux in 1780. The bird was also illustrated in a hand-coloured plate engraved by François-Nicolas Martinet in the Planches Enluminées D'Histoire Naturelle. This was produced under the supervision of Edme-Louis Daubenton to accompany Buffon's text.  Neither the plate caption nor Buffon's description included a scientific name but in 1783 the Dutch naturalist Pieter Boddaert coined the binomial name Alcedo chloris in his catalogue of the Planches Enluminées. The type locality is the island of Buru within Indonesia. The current genus Todiramphus was introduced by the French surgeon and naturalist René Lesson in 1827. The specific epithet chloris is modern Latin for 'green' or 'greenish'.",https://en.wikipedia.org/wiki/Collared_kingfisher
Todiramphus Macleayii,Forest kingfisher,"--- Summary ---
The forest kingfisher (Todiramphus macleayii), also known as Macleay's or the blue kingfisher, is a species of kingfisher in the subfamily Halcyoninae, also known as tree kingfishers. It is a predominantly a blue and white bird. It is found in Indonesia, New Guinea and coastal eastern and Northern Australia. Like many other kingfishers, it hunts invertebrates, small frogs, and lizards.

--- Description ---
The forest kingfisher measures 21.5–25.5 cm (8.5–10.0 in) in length and the male weighs 32–43 g (1.1–1.5 oz) while the female weighs 29–44 g (1.0–1.6 oz). It has blue wings, head and tail with white breast, abdomen and nape. It has a white patch in front of the eyes and a black band stretching from the bill, through the eyes to the ear coverts. A white patch is visible on the wings in flight. The female is distinguished by a blue rather than white nape. The iris is dark brown and the legs and feet dark grey. Immature birds are duller with a blackish crown. The call is a shrill t-reek, repeated regularly, most often in the early morning.

--- Taxonomy ---
The forest kingfisher was first described by the naturalists Sir William Jardine and Prideaux John Selby in 1830. It was known for many years by its old scientific name of Halcyon macleayi before being transferred to the genus Todiramphus. The generic name is derived from the genus Todus (Brisson, 1760), 'tody' (a West Indian insectivorous bird) and Ancient Greek rhamphos, 'bill'. The specific epithet honours the Scottish entomologist and Colonial Secretary to New South Wales Alexander Macleay (1767–1848).
Three subspecies are recognised:

T. m. macleayi, the nominate subspecies, is found across the Top End eastwards to the Gulf of Carpentaria.
T. m. incinctus, described by John Gould, has a greener tinge to its back and is slightly larger. It is found down the east coast of Australia.
T. m. elisabeth (Heine, 1883) is found in eastern New Guinea.",https://en.wikipedia.org/wiki/Forest_kingfisher
Todiramphus Sanctus,Sacred kingfisher,"--- Summary ---
The sacred kingfisher (Todiramphus sanctus) is a medium-sized woodland kingfisher that occurs in mangroves, woodlands, forests and river valleys in Australia, New Zealand and other parts of the western Pacific.

--- Description ---
The sacred kingfisher is mostly blue-green to turquoise above with white underparts and collar feathers, a black mask and buff lores. Both sexes are similar, but females are usually greener, duller and less buff beneath, and juveniles have buff or mottled brown edges on the collar, underparts and upper-wing coverts. Adults are 20–23 cm (7.9–9.1 in) long. Males weigh 28–61 g (1.0–2.2 oz) and females 28–56 g (1.0–2.0 oz).

--- Taxonomy ---
The binomial name Halcyon sanctus was introduced by Nicholas Aylward Vigors and Thomas Horsfield in 1827 who described a sacred kingfisher zoological specimen from New Holland, Australia. Vigors and Horsfield compare it with Alcedo sacra described by Johann Friedrich Gmelin in 1788. Gmelin in turn based his description on John Latham's ""Sacred King's Fisher"" published in 1782. Latham described several varieties, one of which was illustrated in Arthur Phillip's The Voyage of Governor Phillip to Botany Bay published in 1789. The genus Halcyon was split and the sacred kingfisher was placed in the genus Todiramphus that had been erected by the French surgeon and naturalist René Lesson in 1827. The generic name is derived from the genus Todus (Brisson, 1760), 'tody' (a West Indian insectivorous bird) and Ancient Greek rhamphos (ῥάμφος), 'bill'. The specific epithet is the Latin sanctus 'sacred'.
Five subspecies are recognised:

T. s. sanctus (Vigors & Horsfield, 1827) – Australia to eastern Solomon Islands, New Guinea and Indonesia
T. s. vagans (Lesson, 1828) – New Zealand, Lord Howe Island and Kermadec Islands
T. s. norfolkiensis (Tristram, 1885) – Norfolk Island
T. s. canacorum (Brasil, L, 1916) – New Caledonia
T. s. macmillani (Mayr, 1940) – Loyalty Islands

The holotype of Halcyon norfolkiensis Tristram is an adult male held in the vertebrate zoology collection of National Museums Liverpool at World Museum, with accession number NML-VZ T6527. The specimen was collected in Norfolk Island in October 1879 by E. L. Layard and came to the Liverpool national collection through the purchase of Canon Henry Baker Tristram's collection by the museum in 1896.",https://en.wikipedia.org/wiki/Sacred_kingfisher
Coracias Benghalensis,Indian roller,"--- Summary ---
The Indian roller (Coracias benghalensis) is a bird of the family Coraciidae. It is 30–34 cm (12–13 in) long with a wingspan of 65–74 cm (26–29 in) and weighs 166–176 g (5.9–6.2 oz). The face and throat are pinkish, the head and back are brown, with blue on the rump and contrasting light and dark blue on the wings and tail. The bright blue markings on the wing are prominent in flight. The sexes are similar in appearance. Two subspecies are recognised.
The Indian roller occurs widely from West Asia to the Indian subcontinent. Often found perched on roadside trees and wires, it is common in open grassland and scrub forest habitats, and has adapted well to human-modified landscapes. It mainly feeds on insects, especially beetles. The species is best known for the aerobatic displays of males during the breeding season. Adult males and females form pair bonds and raise the young together. The female lays 3–5 eggs in a cavity or crevice, which is lined with a thin mat of straw or feathers. The roller is the state bird of three Indian states. It is listed as a species of least concern on the IUCN Red List.

--- Description ---
The Indian roller is a bulky and broad-winged bird with a large head and short neck and legs. It has a body length of 30–34 cm (12–13 in) with a wingspan of 65–74 cm (26–29 in) and weighs 166–176 g (5.9–6.2 oz). The bare skin around the eyes is dull orange, the legs and feet are yellow-brown. The bill is tinged with brown at the base. The iris is grey-brown.

--- Taxonomy ---
The Indian roller was one of the many bird species originally described by Carl Linnaeus in the 1758 10th edition of Systema Naturae, where he coined the binomial name Corvus benghalensis. Linnaeus based his description on the ""Jay from Bengal"" described and illustrated in 1731 by the English naturalist Eleazar Albin, derived from a drawing by illustrator Joseph Dandridge.
In 1766, Linnaeus described an Indian roller under the name Coracias indica, based on a description by George Edwards in 1764 of a specimen collected in Sri Lanka. The latter name was used for many years; Indian ornithologist Biswamoy Biswas suspected it was because Linnaeus' 12th edition of Systema Naturae was preferred as the starting point for formal descriptions. German ornithologist Ernst Hartert determined there were distinct northern and southern subspecies and allocated benghalensis to the former and indicus to the latter. However, Biswas noted that the type locality (where the specimen was originally found) for benghalensis was Madras Presidency, which lies within the range of the southern subspecies, and proposed a neotype be selected from Bengal, where Linnaeus had assumed the taxon had come from. This was accepted by the International Commission on Zoological Nomenclature in 1962.
Two subspecies are recognized:

C. b. benghalensis (Linnaeus, 1758) occurs from western Asia to India north of the Vindhya Range.
C. b. indicus Linnaeus, 1766 occurs in central and southern India and in Sri Lanka. It is distinguished by its slightly shorter wing and tail, darker blue crown and upper wing coverts, more brownish mantle and shoulder, and more pronounced red-brown collar on hindneck.
The Indochinese roller (C. affinis) was often treated as a subspecies due to some hybridisation between the two taxa over an area from central Nepal to western Assam. However, a 2018 molecular study of nuclear and mitochondrial DNA showed that the latter taxon was actually most closely related to the purple-winged roller (C. temminckii) while the Indian roller was their next closest relative, diverging from a lineage that gave rise to those two species.

The phylogenetic relationships among the Coracias species are shown below, from the molecular study by Johansson et al. (2018)

The International Ornithologists' Union has designated ""Indian roller"" the official common name for the species. In British India, it was also colloquially termed 'blue jay'. The Indian roller is called 'Little King' by villagers in Khuzestan Province in Iran.",https://en.wikipedia.org/wiki/Indian_roller
